weight_pounds,height_inches,weight,height
112.9925,65.78331,51.36022727272727,167.0896074
136.4873,71.51521,62.03968181818181,181.6486334
153.0269,69.39874,69.55768181818182,176.2727996
142.3354,68.2166,64.69790909090908,173.270164
144.2971,67.78781,65.5895909090909,172.18103739999995
123.3024,68.69784,56.04654545454545,174.4925136
141.4947,69.80204,64.31577272727272,177.29718160000004
136.4623,70.01472,62.02831818181818,177.8373888
112.3723,67.90265,51.07831818181818,172.47273099999995
120.6672,66.78236,54.84872727272727,169.6271944
127.4516,66.48769,57.93254545454545,168.87873259999998
114.14299999999999,67.62333000000001,51.88318181818182,171.7632582
125.6107,68.30248,57.09577272727272,173.48829919999997
122.4618,67.11655999999999,55.66445454545454,170.47606240000005
116.0866,68.27967,52.76663636363636,173.43036180000001
139.9975,71.0916,63.63522727272727,180.572664
129.5023,66.461,58.86468181818181,168.81094
142.9733,68.64927,64.98786363636363,174.3691458
137.9025,71.23033000000001,62.68295454545454,180.9250382
124.0449,67.13118,56.38404545454545,170.51319719999998
141.2807,67.83379000000001,64.21849999999999,172.29782659999995
143.5392,68.87881,65.2450909090909,174.9521774
97.90191,63.48115,44.50086818181818,161.242121
129.5027,68.42187,58.86486363636364,173.79154979999996
141.8501,67.62804,64.47731818181818,171.7752216
129.7244,67.20864,58.96563636363637,170.7099456
142.4235,70.84235,64.73795454545454,179.939569
131.5502,67.49434000000001,59.79554545454545,171.4356236
108.3324,66.53401,49.242,168.99638539999995
113.8922,65.44098000000001,51.76918181818181,166.2200892
103.3016,69.5233,46.95527272727272,176.58918200000005
120.7536,65.8132,54.888000000000005,167.165528
125.7886,67.8163,57.17663636363636,172.253402
136.2225,70.59505,61.91931818181818,179.311427
140.1015,71.80484,63.68249999999999,182.3842936
128.7487,69.20613,58.52213636363636,175.78357019999999
141.7994,66.80368,64.45427272727272,169.68134719999998
121.2319,67.65893,55.10540909090909,171.85368219999998
131.3478,67.80700999999999,59.70354545454546,172.2298054
106.7115,64.04535,48.50522727272727,162.675189
124.3598,68.57463,56.52718181818182,174.1795602
124.8591,65.18356999999999,56.75413636363636,165.56626780000005
139.6711,69.65814,63.48686363636363,176.9316756
137.3696,67.96731,62.44072727272727,172.6369674
106.4499,65.98088,48.38631818181818,167.5914352
128.7639,68.67249,58.52904545454546,174.42812460000002
145.6837,66.88088,66.21986363636363,169.8774352
116.819,67.69868000000001,53.09954545454545,171.95464719999995
143.6215,69.82117,65.2825,177.34577180000002
134.9325,69.08816999999999,61.33295454545454,175.48395180000003
147.0219,69.91479,66.82813636363635,177.58356659999995
126.3285,67.33182,57.42204545454546,171.02282279999997
125.4839,70.26939,57.03813636363636,178.4842506
115.7084,69.10344,52.59472727272727,175.52273760000003
123.4892,65.38356,56.13145454545454,166.0742424
147.8926,70.18446999999999,67.22390909090907,178.2685538
155.8987,70.40616999999999,70.86304545454544,178.8316718
128.0742,66.54375999999999,58.21554545454545,169.02115039999998
119.3701,66.36418,54.25913636363636,168.56501720000003
133.8148,67.53699999999999,60.82490909090908,171.54398
128.7325,66.50418,58.51477272727272,168.92061719999998
137.5453,68.99958000000001,62.5205909090909,175.2589332
129.7604,68.30355,58.982,173.491017
128.82399999999998,67.01255,58.55636363636364,170.21187700000004
135.3165,70.80592,61.50749999999999,179.8470368
109.6113,68.21951,49.82331818181818,173.2775554
142.4684,69.05914,64.75836363636363,175.4102156
132.749,67.73103,60.34045454545454,172.03681619999998
103.5275,67.21568,47.05795454545454,170.72782719999998
124.7299,67.36763,56.69540909090909,171.11378019999998
129.3137,65.27033,58.77895454545455,165.7866382
134.0175,70.84278,60.91704545454545,179.94066120000005
140.3969,69.92442,63.81677272727271,177.6080268
102.8351,64.28508000000001,46.74322727272727,163.28410319999998
128.5214,68.2452,58.41881818181818,173.34280800000002
120.2991,66.35708000000001,54.68140909090909,168.5469832
138.6036,68.36275,63.00163636363636,173.641385
132.9574,65.4769,60.43518181818182,166.311326
115.6233,69.71947,52.55604545454545,177.08745380000002
122.524,67.72554000000001,55.69272727272727,172.0228716
134.6254,68.63941,61.19336363636364,174.3441014
121.8986,66.78405,55.40845454545454,169.63148700000002
155.3767,70.05147,70.62577272727272,177.93073379999996
128.9418,66.27848,58.60990909090909,168.3473392
129.1013,69.20198,58.68240909090909,175.77302920000002
139.4733,69.13481,63.39695454545454,175.6024174
140.8901,67.36435999999999,64.04095454545454,171.10547440000005
131.5916,70.09297,59.81436363636363,178.03614380000002
121.1232,70.1766,55.056000000000004,178.248564
131.5127,68.22556,59.7785,173.2929224
136.5479,68.12931999999999,62.06722727272727,173.0484728
141.4896,70.24256,64.31345454545453,178.4161024
140.6104,71.48751999999999,63.91381818181818,181.5783008
112.1413,69.20477,50.97331818181818,175.7801158
133.457,70.06306,60.66227272727272,177.96017239999995
131.8001,70.55703000000001,59.90913636363635,179.2148562
120.0285,66.28644,54.55840909090908,168.3675576
123.0972,63.42576999999999,55.95327272727273,161.10145580000002
128.1432,66.76711,58.24690909090909,169.5884594
115.4759,68.88741,52.48904545454545,174.97402140000003
102.0927,64.87434,46.40577272727272,164.78082360000005
130.35299999999998,67.09272,59.25136363636364,170.41550880000003
134.1842,68.34761,60.99281818181818,173.60292940000005
98.64133000000001,65.61073,44.83696818181818,166.65125419999998
114.5599,67.75551,52.07268181818181,172.0989954
123.4917,68.0212,56.1325909090909,172.773848
123.04799999999999,67.66193,55.93090909090909,171.86130219999998
126.4772,66.3146,57.48963636363636,168.439084
128.417,69.43706,58.37136363636363,176.37013240000005
127.1941,63.836240000000004,57.8155,162.14404960000002
122.0562,67.72277,55.4800909090909,172.0158358
127.6064,70.05098000000001,58.00290909090909,177.92948919999995
131.6423,70.18602,59.83740909090909,178.2724908
111.8955,65.94588,50.86159090909091,167.50253519999998
122.039,70.007,55.47227272727272,177.81778000000003
128.5547,68.61129,58.43395454545454,174.27267659999995
132.6792,68.80816999999999,60.30872727272728,174.7727518
136.0632,69.76212,61.84690909090909,177.19578479999996
115.9403,65.45539000000001,52.700136363636354,166.25669059999996
136.9041,68.82534,62.22913636363636,174.8163636
119.8804,65.8003,54.4910909090909,167.132762
109.0055,67.21474,49.54795454545454,170.72543960000004
